datum,LJ_Bežigrad,NG,MB_Vrbanski,Iskrba,Celje
01.01.19,26,32,28,7,-1
02.01.19,19,16,9,7,-1
03.01.19,3,14,3,4,-1
04.01.19,9,20,14,5,-1
05.01.19,43,30,23,9,-1
06.01.19,40,29,20,9,-1
07.01.19,22,23,21,8,-1
08.01.19,35,34,32,11,-1
09.01.19,34,42,13,10,-1
10.01.19,35,19,11,9,-1
11.01.19,19,21,12,7,-1
12.01.19,47,37,30,8,-1
13.01.19,47,36,17,10,-1
14.01.19,17,46,3,-1,-1
15.01.19,9,22,22,-1,-1
16.01.19,18,38,19,-1,-1
17.01.19,13,36,8,-1,-1
18.01.19,12,7,14,-1,-1
19.01.19,15,14,16,-1,-1
20.01.19,34,17,32,-1,-1
21.01.19,27,21,34,-1,-1
22.01.19,28,15,37,-1,-1
23.01.19,30,20,42,-1,-1
24.01.19,34,15,32,-1,-1
25.01.19,39,20,44,-1,-1
26.01.19,66,40,46,-1,-1
27.01.19,95,32,34,-1,-1
28.01.19,21,13,16,-1,-1
29.01.19,17,15,24,-1,-1
30.01.19,20,13,22,6,-1
31.01.19,34,16,40,13,-1
01.02.19,42,9,32,7,-1
02.02.19,37,10,9,4,-1
03.02.19,7,7,13,2,-1
04.02.19,7,6,8,-1,-1
05.02.19,14,12,21,10,-1
06.02.19,28,14,33,9,-1
07.02.19,41,-1,38,13,-1
08.02.19,44,17,44,18,-1
09.02.19,45,42,42,10,-1
10.02.19,47,55,24,8,-1
11.02.19,11,16,5,3,-1
12.02.19,13,17,7,4,-1
13.02.19,24,18,12,3,-1
14.02.19,35,-1,14,5,-1
15.02.19,32,-1,20,8,-1
16.02.19,39,-1,21,8,-1
17.02.19,42,-1,23,10,-1
18.02.19,40,-1,27,12,-1
19.02.19,48,-1,24,18,-1
20.02.19,63,80,33,16,-1
21.02.19,57,79,39,14,-1
22.02.19,36,-1,12,9,-1
23.02.19,6,6,9,8,-1
24.02.19,16,-1,16,13,-1
25.02.19,27,-1,22,15,-1
26.02.19,31,-1,7,9,-1
27.02.19,21,-1,15,6,-1
28.02.19,20,-1,8,7,-1
01.03.19,29,-1,11,10,-1
02.03.19,30,-1,12,8,-1
03.03.19,17,-1,17,7,-1
04.03.19,19,-1,12,8,-1
05.03.19,14,39,7,7,-1
06.03.19,20,26,10,6,-1
07.03.19,11,18,9,9,-1
08.03.19,9,15,10,6,-1
09.03.19,13,20,10,6,-1
10.03.19,7,14,7,7,-1
11.03.19,7,10,10,4,-1
12.03.19,10,7,5,3,-1
13.03.19,10,11,11,3,-1
14.03.19,11,15,6,4,-1
15.03.19,13,29,10,4,-1
16.03.19,15,23,15,5,-1
17.03.19,12,12,11,6,-1
18.03.19,6,5,4,2,-1
19.03.19,9,4,9,4,-1
20.03.19,9,8,15,6,-1
21.03.19,15,13,14,8,-1
22.03.19,23,14,15,11,-1
23.03.19,24,15,15,11,-1
24.03.19,21,14,15,11,-1
25.03.19,17,15,24,11,-1
26.03.19,5,3,4,3,-1
27.03.19,9,6,9,5,-1
28.03.19,11,7,11,7,-1
29.03.19,14,11,15,8,-1
30.03.19,20,14,17,9,-1
31.03.19,20,14,16,13,-1
01.04.19,20,16,22,15,-1
02.04.19,25,20,22,19,-1
03.04.19,22,17,18,15,-1
04.04.19,15,12,14,10,-1
05.04.19,7,6,12,5,-1
06.04.19,10,10,14,4,-1
07.04.19,15,10,13,6,-1
08.04.19,17,14,13,-1,-1
09.04.19,24,17,19,-1,-1
10.04.19,28,19,27,-1,-1
11.04.19,12,9,19,-1,-1
12.04.19,18,12,20,8,-1
13.04.19,23,17,20,18,-1
14.04.19,16,10,19,16,-1
15.04.19,18,13,19,16,-1
16.04.19,22,19,21,14,-1
17.04.19,19,17,16,12,-1
18.04.19,13,11,14,10,-1
19.04.19,13,8,8,9,-1
20.04.19,19,10,11,11,-1
21.04.19,12,10,12,10,-1
22.04.19,12,11,11,11,-1
23.04.19,13,10,18,11,-1
24.04.19,15,18,16,13,-1
25.04.19,17,19,11,19,-1
26.04.19,21,18,15,18,-1
27.04.19,4,4,4,4,-1
28.04.19,5,1,4,3,-1
29.04.19,6,7,7,5,-1
30.04.19,11,10,6,3,-1
01.05.19,15,17,11,7,-1
02.05.19,9,7,9,8,-1
03.05.19,7,7,6,6,-1
04.05.19,6,4,5,5,-1
05.05.19,2,2,2,3,-1
06.05.19,5,4,5,5,-1
07.05.19,11,6,-1,6,-1
08.05.19,10,9,10,7,-1
09.05.19,5,6,4,4,-1
10.05.19,9,8,4,5,-1
11.05.19,9,8,5,7,-1
12.05.19,4,3,2,4,-1
13.05.19,4,3,3,4,-1
14.05.19,6,5,5,5,-1
15.05.19,5,6,5,3,-1
16.05.19,6,4,6,4,-1
17.05.19,8,6,11,5,-1
18.05.19,18,11,18,16,-1
19.05.19,13,10,13,9,-1
20.05.19,7,5,5,6,-1
21.05.19,4,5,5,4,-1
22.05.19,8,9,5,6,-1
23.05.19,12,8,6,5,-1
24.05.19,8,9,9,6,-1
25.05.19,10,9,10,7,-1
26.05.19,10,8,9,8,-1
27.05.19,7,5,9,5,-1
28.05.19,5,5,5,3,-1
29.05.19,3,2,-1,2,-1
30.05.19,4,4,-1,5,-1
31.05.19,8,8,-1,8,-1
