datum,PM10bezigrad,PM25bezigrad,povpdnevnaT,oblacnost,povpvlaga,kolpadavin,padavine
1.01.2019,34.00,26,2.2,73,80,0.0,ne
2.01.2019,22.00,19,2.1,40,60,0.0,ne
3.01.2019,8.00,3,1.6,37,36,0.0,ne
4.01.2019,14.00,9,-0.8,70,61,0.0,da
7.01.2019,28.00,22,-0.6,77,81,0.0,da
8.01.2019,43.00,35,-0.8,100,92,0.0,da
9.01.2019,40.00,34,-1.1,80,95,0.2,da
10.01.2019,43.00,35,0.5,73,83,0.0,ne
11.01.2019,26.00,19,-1.3,33,70,0.0,da
14.01.2019,25.00,17,6.0,63,61,0.0,da
15.01.2019,16.00,9,4.1,13,48,0.0,da
16.01.2019,28.00,18,5.8,93,59,0.0,ne
17.01.2019,19.00,13,7.4,93,81,0.0,ne
18.01.2019,15.00,12,1.5,93,93,25.6,da
21.01.2019,33.00,27,-0.1,100,77,0.0,ne
22.01.2019,34.00,28,-1.2,93,83,0.1,da
23.01.2019,34.00,30,-2.4,100,86,0.4,da
24.01.2019,0,34,-0.6,97,82,1.6,da
25.01.2019,45.00,39,-3.1,43,80,0.0,ne
28.01.2019,25.00,21,2.0,100,93,9.6,da
29.01.2019,21.00,17,2.2,77,84,9.3,da
30.01.2019,25.00,20,1.0,83,76,0.0,ne
31.01.2019,38.00,34,0.3,93,86,0.0,ne
1.02.2019,46.00,42,1.7,100,95,1.7,da
4.02.2019,10.00,7,3.7,83,77,11.9,da
5.02.2019,19.00,14,2.2,73,72,0.0,ne
6.02.2019,35.00,28,1.3,10,76,0.0,ne
7.02.2019,51.00,41,0.4,60,82,0.0,ne
8.02.2019,53.00,44,2.2,50,77,0.0,ne
11.02.2019,15.00,11,4.3,87,88,18.1,da
12.02.2019,20.00,13,3.9,23,54,0.1,da
13.02.2019,37.00,24,2.6,10,62,0.0,ne
14.02.2019,49.00,35,4.2,23,69,0.0,ne
15.02.2019,41.00,32,4.3,20,74,0.0,ne
18.02.2019,54.00,40,6.1,3,65,0.0,ne
19.02.2019,57.00,48,7.0,7,65,0.0,ne
20.02.2019,75.00,63,6.9,47,70,0.0,ne
21.02.2019,72.00,57,7.6,47,66,0.0,ne
22.02.2019,45.00,36,9.1,50,65,0.0,ne
25.02.2019,35.00,27,5.3,60,51,0.0,ne
26.02.2019,42.00,31,10.9,70,50,0.0,da
27.02.2019,30.00,21,8.1,10,54,0.0,ne
28.02.2019,29.00,20,10.2,23,50,0.0,ne
1.03.2019,36.00,29,9.5,57,56,0.0,ne
4.03.2019,25.00,19,9.9,83,63,0.0,ne
5.03.2019,19.00,14,8.9,43,76,4.0,da
6.03.2019,30.00,20,8.8,47,71,0.0,ne
7.03.2019,20.00,11,12.8,90,69,0.0,ne
8.03.2019,18.00,9,12.0,50,60,0.1,da
11.03.2019,13.00,7,3.9,93,88,0.0,ne
12.03.2019,14.00,10,6.0,40,61,8.8,da
13.03.2019,16.00,10,5.6,93,66,0.0,ne
14.03.2019,15.00,11,7.2,50,63,1.8,da
15.03.2019,20.00,13,9.7,47,60,0.0,ne
18.03.2019,10.00,6,4.8,100,88,0.2,da
19.03.2019,14.00,9,5.5,90,77,15.6,da
20.03.2019,15.00,9,5.7,20,59,0.2,da
21.03.2019,23.00,15,7.0,20,55,0.0,ne
22.03.2019,31.00,23,9.1,20,57,0.0,ne
25.03.2019,25.00,17,7.1,40,75,0.0,ne
26.03.2019,7.00,5,7.7,30,61,17.0,da
27.03.2019,15.00,9,5.9,70,64,0.0,ne
28.03.2019,15.00,11,8.0,63,62,0.0,ne
29.03.2019,18.00,14,10.4,40,59,0.0,ne
1.04.2019,26.00,20,13.0,3,56,0.0,ne
2.04.2019,34.00,25,13.7,70,58,0.0,ne
3.04.2019,28.00,22,13.2,77,66,0.0,da
4.04.2019,21.00,15,13.0,90,70,3.5,da
5.04.2019,10.00,7,9.5,97,82,0.1,da
8.04.2019,21.00,17,11.0,87,85,0.4,da
