datum,LJ_Bežigrad,LJ_ BF,LJ_GR,Maribor,Zagorje,Hrastnik,Trbovlje,Novo_mesto,Kranj,M.Sobota,Iskrba,Žerjav,Celje,N.Gorica,Velenje,Koper,NG_Grčna,CE_Mar.,MS_Cank.
1.01.2019,34.00,25.00,32.00,40.00,37.00,20.00,27.00,46.00,37.00,40.00,9.00,36.00,40.00,37.00,26.00,15.00,31.00,40.00,54.00
2.01.2019,22.00,19.00,23.00,19.00,22.00,10.00,21.00,22.00,11.00,19.00,8.00,13.00,23.00,19.00,9.00,13.00,21.00,23.00,25.00
3.01.2019,8.00,6.00,9.00,10.00,11.00,5.00,9.00,21.00,5.00,4.00,5.00,14.00,15.00,20.00,6.00,7.00,22.00,15.00,7.00
4.01.2019,14.00,12.00,17.00,26.00,23.00,16.00,0,34.00,17.00,14.00,7.00,15.00,43.00,26.00,14.00,9.00,26.00,46.00,28.00
5.01.2019,53.00,44.00,53.00,41.00,64.00,35.00,0,54.00,40.00,40.00,10.00,20.00,69.00,39.00,26.00,22.00,36.00,75.00,54.00
6.01.2019,48.00,40.00,48.00,33.00,60.00,46.00,0,49.00,39.00,23.00,10.00,17.00,0,34.00,17.00,25.00,34.00,71.00,36.00
7.01.2019,28.00,21.00,26.00,35.00,56.00,35.00,0,39.00,28.00,23.00,9.00,24.00,0,32.00,21.00,15.00,38.00,64.00,37.00
8.01.2019,43.00,44.00,43.00,55.00,46.00,8.00,0,43.00,0,57.00,11.00,31.00,0,38.00,38.00,23.00,35.00,82.00,71.00
9.01.2019,40.00,42.00,41.00,29.00,56.00,31.00,0,55.00,53.00,41.00,10.00,19.00,70.00,47.00,28.00,30.00,42.00,77.00,54.00
10.01.2019,43.00,34.00,42.00,25.00,39.00,19.00,29.00,42.00,39.00,17.00,9.00,27.00,44.00,25.00,10.00,8.00,28.00,50.00,22.00
11.01.2019,26.00,16.00,27.00,27.00,59.00,33.00,0,39.00,27.00,14.00,7.00,38.00,0,29.00,28.00,9.00,32.00,51.00,25.00
12.01.2019,59.00,48.00,64.00,48.00,66.00,40.00,0,50.00,46.00,62.00,8.00,36.00,68.00,47.00,35.00,29.00,45.00,71.00,69.00
13.01.2019,57.00,51.00,61.00,37.00,51.00,27.00,0,44.00,46.00,42.00,11.00,35.00,53.00,43.00,32.00,22.00,40.00,57.00,54.00
14.01.2019,25.00,17.00,24.00,13.00,47.00,29.00,32.00,33.00,16.00,11.00,10.00,13.00,28.00,55.00,10.00,40.00,56.00,26.00,16.00
15.01.2019,16.00,11.00,19.00,30.00,34.00,18.00,21.00,31.00,13.00,20.00,6.00,36.00,38.00,34.00,16.00,8.00,33.00,38.00,38.00
16.01.2019,28.00,20.00,28.00,45.00,24.00,18.00,16.00,30.00,29.00,40.00,9.00,49.00,36.00,50.00,33.00,22.00,47.00,36.00,60.00
17.01.2019,19.00,13.00,18.00,19.00,22.00,13.00,13.00,12.00,29.00,20.00,7.00,34.00,20.00,44.00,17.00,16.00,41.00,31.00,26.00
18.01.2019,15.00,10.00,13.00,20.00,23.00,16.00,22.00,23.00,16.00,17.00,3.00,15.00,31.00,8.00,11.00,7.00,14.00,29.00,25.00
19.01.2019,19.00,17.00,16.00,37.00,25.00,19.00,22.00,24.00,24.00,22.00,8.00,21.00,30.00,19.00,22.00,9.00,19.00,31.00,27.00
20.01.2019,39.00,29.00,39.00,43.00,39.00,26.00,0,44.00,38.00,39.00,14.00,19.00,43.00,22.00,24.00,16.00,22.00,39.00,48.00
21.01.2019,33.00,28.00,34.00,44.00,43.00,41.00,0,42.00,26.00,46.00,19.00,26.00,61.00,28.00,21.00,17.00,32.00,57.00,52.00
22.01.2019,34.00,33.00,35.00,56.00,41.00,41.00,40.00,41.00,29.00,52.00,17.00,31.00,0,20.00,30.00,13.00,26.00,62.00,63.00
