datum,LJ_Bežigrad,LJ_ BF,LJ_GR,Maribor,Zagorje,Hrastnik,Trbovlje,Novo_mesto,Kranj,M.Sobota,Iskrba,Žerjav,Celje,N.Gorica,Velenje,Koper,NG_Grčna,CE_Mar.,MS_Cank.,Maribor.VR,Ptuj
01.01.20,93,90,103,53,94,56,89,68,48,57,8,49,88,23,50,26,30,96,78,48,56
02.01.20,71,69,74,57,74,45,75,48,52,77,7,48,72,27,22,17,29,79,78,35,66
03.01.20,78,84,86,65,94,51,74,42,50,80,5,42,89,39,20,45,39,95,88,47,80
04.01.20,99,88,103,78,82,53,75,65,45,81,8,38,84,38,17,47,37,95,90,40,103
05.01.20,42,34,47,19,41,22,36,46,18,10,16,25,25,20,9,7,26,28,14,11,20
06.01.20,51,36,56,41,62,39,56,39,34,41,5,49,63,30,26,17,35,73,46,28,29
07.01.20,77,56,76,68,76,56,68,52,50,60,6,42,93,44,35,35,50,100,80,45,54
08.01.20,86,74,91,64,84,53,80,56,51,77,9,44,94,34,39,20,39,98,83,45,64
09.01.20,93,77,97,82,84,48,71,47,63,66,7,48,101,41,43,38,42,111,71,55,48
10.01.20,50,35,48,81,47,23,32,34,38,74,8,52,55,57,38,44,59,63,79,63,75
11.01.20,60,52,63,67,70,44,58,55,33,69,11,48,69,24,33,22,26,84,76,41,65
12.01.20,43,30,42,37,63,30,49,44,43,46,10,54,51,29,26,13,25,57,52,31,36
13.01.20,61,52,62,60,56,45,88,42,45,52,10,43,74,33,32,14,34,84,57,37,57
14.01.20,48,41,49,46,49,26,26,55,40,45,8,50,0,55,34,45,52,63,51,35,47
15.01.20,36,29,35,47,29,16,16,44,29,41,9,53,40,70,0,57,74,46,48,37,40
16.01.20,53,37,52,70,50,35,42,46,34,48,8,47,49,57,27,60,55,58,58,52,56
17.01.20,57,52,60,50,47,43,49,48,46,33,23,48,53,38,49,32,34,58,37,39,42
18.01.20,36,37,38,36,29,30,30,25,51,28,14,45,35,33,33,28,35,40,33,26,34
19.01.20,29,25,28,32,42,35,44,39,38,19,8,31,44,13,30,8,18,47,27,24,32
20.01.20,33,30,33,34,40,23,36,48,33,26,9,27,44,18,26,12,21,48,39,20,32
21.01.20,41,31,45,51,56,37,45,48,37,56,12,45,58,27,37,19,42,69,61,34,43
22.01.20,55,41,54,50,71,45,57,47,45,44,9,38,77,49,38,44,48,86,53,40,56
23.01.20,50,41,54,55,76,53,69,82,41,48,11,44,83,33,49,29,39,91,51,38,45
24.01.20,58,49,61,51,63,35,42,58,53,45,9,41,81,40,43,23,44,86,48,41,47
25.01.20,52,46,53,55,35,19,23,61,30,49,10,44,0,43,40,32,37,58,51,47,53
26.01.20,43,43,43,38,55,58,52,66,28,25,10,40,0,40,46,46,45,61,30,32,30
27.01.20,32,26,33,39,56,48,51,33,23,31,0,43,48,37,38,66,41,56,37,32,31
